Variable,Level,Odds Ratio,95% CI Lower,95% CI Upper,Z,p,datlab
Education Level of Caregiver,Higher (ref),1,1,1,,,Zero-Dose versus any vaccination
Education Level of Caregiver,Never been to school,0.53,0.42,0.66,-5.42,0,Zero-Dose versus any vaccination
Education Level of Caregiver,Primary,1.43,1.33,1.53,10.27,0,Zero-Dose versus any vaccination
Education Level of Caregiver,Secondary,1.23,1.18,1.29,8.67,0,Zero-Dose versus any vaccination
Education Level of Caregiver,Do not know,1.13,0.55,2.35,0.34,0.74,Zero-Dose versus any vaccination
Education Level of Caregiver,No response,2.21,1.57,3.12,4.51,0,Zero-Dose versus any vaccination
Religion of Caregiver,Catholic (ref),1,1,1,,,Zero-Dose versus any vaccination
Religion of Caregiver,No religion,0.7,0.6,0.82,-4.35,0,Zero-Dose versus any vaccination
Religion of Caregiver,Protestant,0.78,0.66,0.91,-3.15,0,Zero-Dose versus any vaccination
Religion of Caregiver,Kimbanguist,0.85,0.7,1.03,-1.7,0.09,Zero-Dose versus any vaccination
Religion of Caregiver,Muslim,0.91,0.73,1.13,-0.89,0.38,Zero-Dose versus any vaccination
Religion of Caregiver,Revival/Independent Church,0.93,0.8,1.09,-0.87,0.38,Zero-Dose versus any vaccination
Religion of Caregiver,Other,1.07,0.89,1.28,0.73,0.46,Zero-Dose versus any vaccination
Religion of Caregiver,Dont know,0.46,0.18,1.19,-1.61,0.11,Zero-Dose versus any vaccination
Religion of Caregiver,No response ,1.23,0.8,1.89,0.93,0.35,Zero-Dose versus any vaccination
Wealth Quintile,Richest (ref),1,1,1,,,Zero-Dose versus any vaccination
Wealth Quintile,Richer,1.4,1.29,1.52,8,0,Zero-Dose versus any vaccination
Wealth Quintile,Middle,1.65,1.52,1.8,11.75,0,Zero-Dose versus any vaccination
Wealth Quintile,Poorer,1.81,1.66,1.98,13.59,0,Zero-Dose versus any vaccination
Wealth Quintile,Poorest,1.96,1.8,2.14,15.14,0,Zero-Dose versus any vaccination
Province,bu Bas Uele Province (ref),1,1,1,,,Zero-Dose versus any vaccination
Province,eq Equateur Province,0.38,0.33,0.45,-11.31,0,Zero-Dose versus any vaccination
Province,hk Haut Katanga Province,2.34,1.96,2.81,9.26,0,Zero-Dose versus any vaccination
Province,hl Haut Lomami Province,0.35,0.28,0.45,-8.42,0,Zero-Dose versus any vaccination
Province,hu Haut Uele Province,2.05,1.74,2.4,8.79,0,Zero-Dose versus any vaccination
Province,it Ituri Province,0.43,0.36,0.52,-8.97,0,Zero-Dose versus any vaccination
Province,kc Kongo Central Province,0.57,0.45,0.72,-4.67,0,Zero-Dose versus any vaccination
Province,ke Kasai Oriental Province,2.52,2.04,3.11,8.58,0,Zero-Dose versus any vaccination
Province,kg Kwango Province,0.58,0.45,0.73,-4.45,0,Zero-Dose versus any vaccination
Province,kl Kwilu Province,0.4,0.31,0.51,-7.35,0,Zero-Dose versus any vaccination
Province,kn Kinshasa Province,0.36,0.28,0.45,-8.49,0,Zero-Dose versus any vaccination
Province,kr Kasai Central Province,0.96,0.78,1.18,-0.4,0.69,Zero-Dose versus any vaccination
Province,ks Kasai Province,1.65,1.35,2.02,4.92,0,Zero-Dose versus any vaccination
Province,ll Lualaba Province,0.78,0.64,0.95,-2.52,0.01,Zero-Dose versus any vaccination
Province,lm Lomami Province,1.1,0.89,1.37,0.9,0.37,Zero-Dose versus any vaccination
Province,md Maindombe Province,0.9,0.76,1.06,-1.27,0.21,Zero-Dose versus any vaccination
Province,mg Mongala Province,3.36,2.87,3.94,14.93,0,Zero-Dose versus any vaccination
Province,mn Maniema Province,4.46,3.72,5.35,16.18,0,Zero-Dose versus any vaccination
Province,nk Nord Kivu Province,0.2,0.16,0.25,-14.43,0,Zero-Dose versus any vaccination
Province,nu Nord Ubangi Province,0.27,0.22,0.34,-11.1,0,Zero-Dose versus any vaccination
Province,sk Sud Kivu Province,0.44,0.36,0.53,-8.87,0,Zero-Dose versus any vaccination
Province,sn Sankuru Province,5.87,4.8,7.18,17.26,0,Zero-Dose versus any vaccination
Province,su Sud Ubangi Province,0.64,0.54,0.75,-5.41,0,Zero-Dose versus any vaccination
Province,tn Tanganyika Province,0.33,0.26,0.4,-10.15,0,Zero-Dose versus any vaccination
Province,tp Tshopo Province,4.2,3.59,4.91,17.95,0,Zero-Dose versus any vaccination
Province,tu Tshuapa Province,2.6,2.23,3.05,11.93,0,Zero-Dose versus any vaccination
