Variable,Level,Odds Ratio,95% CI Lower,95% CI Upper,Z,p,datlab
Religion of Caregiver,Other,1.35,1.22,1.5,5.92,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Religion of Caregiver,Dont know,0.35,0.12,1.05,-1.88,0.06,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Religion of Caregiver,No response ,0.8,0.48,1.34,-0.84,0.4,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Wealth Quintile,Richest (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Wealth Quintile,Richer,1.25,1.17,1.33,6.77,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Wealth Quintile,Middle,1.26,1.18,1.35,6.6,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Wealth Quintile,Poorer,1.32,1.23,1.42,7.23,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Wealth Quintile,Poorest,1.29,1.19,1.39,6.1,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Occupation of HH Head,Without profession (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Occupation of HH Head,Teacher,1.01,0.92,1.11,0.21,0.84,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Occupation of HH Head,Civil servant,1.02,0.92,1.13,0.44,0.66,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Occupation of HH Head,Farmer/herder,1.05,0.97,1.14,1.21,0.23,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Occupation of HH Head,Fisherman,1.11,0.98,1.26,1.7,0.09,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Occupation of HH Head,Trader,1,0.91,1.1,0.03,0.98,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Occupation of HH Head,Laborer,1.05,0.94,1.17,0.89,0.37,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Occupation of HH Head,Other Profession,1.07,0.97,1.17,1.37,0.17,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Occupation of HH Head,Student,1.1,0.91,1.33,0.96,0.34,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,bu Bas Uele Province (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,eq Equateur Province,1.34,1.14,1.58,3.51,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,hk Haut Katanga Province,0.81,0.67,0.98,-2.2,0.03,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,hl Haut Lomami Province,0.21,0.17,0.26,-14.85,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,hu Haut Uele Province,0.81,0.67,0.98,-2.18,0.03,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,it Ituri Province,0.59,0.5,0.7,-6.07,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,kc Kongo Central Province,0.58,0.48,0.71,-5.42,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,ke Kasai Oriental Province,1.2,0.98,1.48,1.75,0.08,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,kg Kwango Province,0.47,0.38,0.57,-7.38,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,kl Kwilu Province,0.24,0.19,0.29,-13.95,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,kn Kinshasa Province,0.31,0.25,0.37,-12.13,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,kr Kasai Central Province,0.89,0.73,1.08,-1.2,0.23,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,ks Kasai Province,0.75,0.61,0.91,-2.87,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,ll Lualaba Province,0.68,0.55,0.83,-3.69,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,lm Lomami Province,0.83,0.68,1.02,-1.79,0.07,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,md Maindombe Province,0.32,0.26,0.38,-12.51,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,mg Mongala Province,1.38,1.13,1.68,3.18,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,mn Maniema Province,1.31,1.06,1.63,2.47,0.01,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,nk Nord Kivu Province,0.53,0.44,0.64,-6.76,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,nu Nord Ubangi Province,0.35,0.29,0.42,-11.22,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,sk Sud Kivu Province,0.62,0.51,0.74,-5.08,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,sn Sankuru Province,1.17,0.94,1.46,1.39,0.16,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,su Sud Ubangi Province,1.52,1.28,1.81,4.71,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,tn Tanganyika Province,0.62,0.51,0.76,-4.54,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,tp Tshopo Province,1.23,1.01,1.49,2.1,0.04,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
Province,tu Tshuapa Province,1.71,1.4,2.08,5.23,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
svyyear,ECV 2022 (ref),1,1,1,,,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
svyyear,ECV 2023,1.36,1.31,1.41,15.95,0,"Under-Vaccinated versus Fully-Vaccinated
(UV vs. FV)"
