Variable,Level,Odds Ratio,95% CI Lower,95% CI Upper,Z,p,datlab
Marital Status of Caregiver,Widowed,0.82,0.61,1.11,-1.28,0.2,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Age of Caregiver,> 50 (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Age of Caregiver,46-50,0.68,0.47,1,-1.98,0.05,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Age of Caregiver,41-45,0.51,0.37,0.69,-4.27,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Age of Caregiver,36-40,0.52,0.39,0.71,-4.24,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Age of Caregiver,31-35,0.5,0.37,0.68,-4.54,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Age of Caregiver,26-30,0.49,0.37,0.66,-4.72,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Age of Caregiver,21-25,0.52,0.39,0.7,-4.37,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Age of Caregiver,18-20,0.55,0.41,0.74,-3.94,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Age of Caregiver,< 18,0.59,0.42,0.83,-3.06,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Education Level of Caregiver,Higher (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Education Level of Caregiver,Never been to school,2.86,2.2,3.73,7.8,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Education Level of Caregiver,Primary,2.53,1.95,3.27,7.08,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Education Level of Caregiver,Secondary,1.99,1.55,2.57,5.34,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Education Level of Caregiver,Do not know,1.69,0.64,4.46,1.07,0.29,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Education Level of Caregiver,No response,4.7,2.57,8.57,5.04,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Religion of Caregiver,Catholic (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Religion of Caregiver,No religion,1.43,1.19,1.73,3.76,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Religion of Caregiver,Protestant,1.11,1.03,1.19,2.92,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Religion of Caregiver,Kimbanguist,1.2,1.04,1.39,2.49,0.01,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Religion of Caregiver,Muslim,1.31,1.09,1.58,2.89,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Religion of Caregiver,Revival/Independent Church,1.35,1.26,1.45,8.55,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Religion of Caregiver,Other,1.58,1.39,1.78,7.24,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Religion of Caregiver,Dont know,0.84,0.17,4.18,-0.21,0.83,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Religion of Caregiver,No response ,1.73,1.05,2.86,2.15,0.03,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Wealth Quintile,Richest (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Wealth Quintile,Richer,1.3,1.18,1.44,5.26,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Wealth Quintile,Middle,1.64,1.48,1.81,9.44,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Wealth Quintile,Poorer,1.67,1.5,1.86,9.39,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Wealth Quintile,Poorest,1.78,1.59,1.99,10.24,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Occupation of HH Head,Without profession (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Occupation of HH Head,Teacher,1.04,0.91,1.18,0.56,0.57,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Occupation of HH Head,Civil servant,1.1,0.95,1.27,1.23,0.22,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Occupation of HH Head,Farmer/herder,1.25,1.12,1.39,3.94,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Occupation of HH Head,Fisherman,1.22,1.05,1.42,2.63,0.01,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Occupation of HH Head,Trader,1.23,1.07,1.41,3,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Occupation of HH Head,Laborer,1.16,1,1.34,1.92,0.06,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Occupation of HH Head,Other Profession,1.26,1.11,1.44,3.52,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Occupation of HH Head,Student,0.93,0.72,1.19,-0.6,0.55,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,bu Bas Uele Province (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,eq Equateur Province,0.39,0.32,0.48,-9.03,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,hk Haut Katanga Province,2.35,1.94,2.86,8.66,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,hl Haut Lomami Province,0.32,0.25,0.42,-8.17,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,hu Haut Uele Province,2.17,1.83,2.57,8.93,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,it Ituri Province,0.41,0.34,0.5,-8.84,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,kc Kongo Central Province,0.61,0.46,0.79,-3.68,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,ke Kasai Oriental Province,2.52,2,3.18,7.82,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,kg Kwango Province,0.62,0.48,0.81,-3.54,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,kl Kwilu Province,0.41,0.31,0.55,-6.28,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,kn Kinshasa Province,0.32,0.24,0.41,-8.59,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,kr Kasai Central Province,0.96,0.76,1.21,-0.35,0.73,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,ks Kasai Province,1.9,1.52,2.37,5.69,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,ll Lualaba Province,0.97,0.78,1.22,-0.26,0.8,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,lm Lomami Province,1.12,0.88,1.41,0.93,0.35,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,md Maindombe Province,0.96,0.82,1.14,-0.42,0.68,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,mg Mongala Province,3.34,2.84,3.93,14.65,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,mn Maniema Province,4.5,3.71,5.46,15.24,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,nk Nord Kivu Province,0.17,0.13,0.22,-13.48,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,nu Nord Ubangi Province,0.41,0.31,0.54,-6.34,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,sk Sud Kivu Province,0.5,0.4,0.61,-6.61,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,sn Sankuru Province,7.18,5.75,8.96,17.43,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,su Sud Ubangi Province,0.68,0.57,0.82,-4.12,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,tn Tanganyika Province,0.35,0.27,0.44,-8.73,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,tp Tshopo Province,4.01,3.4,4.72,16.6,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
Province,tu Tshuapa Province,2.55,2.13,3.06,10.11,0,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
svyyear,ECV 2022 (ref),1,1,1,,,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
svyyear,ECV 2023,1,0.95,1.05,0.08,0.94,"Zero-Dose versus any vaccination
(ZD vs. UV+FV)"
